SEASON_ID,PLAYER_ID,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,201142,22200346,4-Dec-22,BKN vs. BOS,L,40,13,24,0.542,1,5,0.2,4,5,0.8,0,7,7,5,2,2,8,0,31,-19,1
22022,201142,22200329,2-Dec-22,BKN vs. TOR,W,38,6,10,0.6,0,3,0,5,6,0.833,0,9,9,7,0,2,2,0,17,1,1
22022,201142,22200315,30-Nov-22,BKN vs. WAS,W,37,13,20,0.65,2,3,0.667,11,11,1,0,5,5,5,0,1,1,4,39,-1,1
22022,201142,22200302,28-Nov-22,BKN vs. ORL,W,39,19,24,0.792,3,5,0.6,4,4,1,1,6,7,5,2,2,6,4,45,11,1
22022,201142,22200290,27-Nov-22,BKN vs. POR,W,37,12,20,0.6,3,6,0.5,4,4,1,0,5,5,5,0,0,1,4,31,21,1
22022,201142,22200276,25-Nov-22,BKN @ IND,L,39,15,31,0.484,3,12,0.25,3,4,0.75,2,7,9,8,0,2,5,4,36,0,1
22022,201142,22200266,23-Nov-22,BKN @ TOR,W,33,5,10,0.5,2,5,0.4,0,0,0,0,7,7,5,0,3,4,2,12,30,1
22022,201142,22200256,22-Nov-22,BKN @ PHI,L,37,9,14,0.643,0,1,0,2,2,1,0,5,5,5,0,2,3,0,20,-10,1
22022,201142,22200243,20-Nov-22,BKN vs. MEM,W,36,9,16,0.563,0,3,0,8,8,1,0,7,7,7,1,1,4,3,26,5,1
22022,201142,22200221,17-Nov-22,BKN @ POR,W,39,13,22,0.591,1,4,0.25,8,10,0.8,0,8,8,3,0,1,4,4,35,15,1
22022,201142,22200210,15-Nov-22,BKN @ SAC,L,31,8,15,0.533,0,1,0,11,11,1,0,4,4,6,0,1,2,2,27,-31,1
22022,201142,22200198,13-Nov-22,BKN @ LAL,L,38,8,16,0.5,2,3,0.667,13,15,0.867,0,9,9,7,0,2,3,2,31,-15,1
22022,201142,22200184,12-Nov-22,BKN @ LAC,W,35,10,16,0.625,3,5,0.6,4,4,1,0,6,6,3,2,2,3,4,27,16,1
22022,201142,22200164,9-Nov-22,BKN vs. NYK,W,35,10,19,0.526,1,5,0.2,8,10,0.8,1,11,12,12,1,2,1,1,29,32,1
22022,201142,22200155,7-Nov-22,BKN @ DAL,L,39,10,20,0.5,1,3,0.333,5,7,0.714,1,3,4,4,2,1,3,5,26,1,1
22022,201142,22200133,5-Nov-22,BKN @ CHA,W,37,10,20,0.5,1,4,0.25,6,6,1,0,8,8,2,0,3,3,2,27,13,1
22022,201142,22200123,4-Nov-22,BKN @ WAS,W,33,10,21,0.476,2,6,0.333,6,6,1,0,9,9,11,0,1,2,1,28,35,1
22022,201142,22200103,1-Nov-22,BKN vs. CHI,L,38,9,16,0.563,2,4,0.5,12,12,1,0,9,9,6,1,2,7,3,32,-7,1
22022,201142,22200098,31-Oct-22,BKN vs. IND,W,39,13,22,0.591,2,5,0.4,8,8,1,0,9,9,7,1,1,3,2,36,8,1
22022,201142,22200083,29-Oct-22,BKN vs. IND,L,39,8,20,0.4,1,5,0.2,9,9,1,1,4,5,2,3,4,3,0,26,-3,1
22022,201142,22200066,27-Oct-22,BKN vs. DAL,L,41,12,21,0.571,2,5,0.4,11,11,1,1,2,3,5,2,1,3,2,37,-6,1
22022,201142,22200060,26-Oct-22,BKN @ MIL,L,39,10,23,0.435,1,4,0.25,12,13,0.923,0,6,6,3,0,2,5,3,33,-17,1
22022,201142,22200049,24-Oct-22,BKN @ MEM,L,39,14,20,0.7,1,3,0.333,8,9,0.889,1,4,5,4,0,0,1,4,37,-11,1
22022,201142,22200021,21-Oct-22,BKN vs. TOR,W,35,8,18,0.444,3,9,0.333,8,10,0.8,1,4,5,6,0,2,5,2,27,-8,1
22022,201142,22200006,19-Oct-22,BKN vs. NOP,L,32,11,21,0.524,2,6,0.333,8,9,0.889,0,3,3,2,1,4,4,4,32,-23,1
22022,1628369,22200355,5-Dec-22,BOS @ TOR,W,39,11,24,0.458,5,10,0.5,4,5,0.8,3,9,12,3,1,1,4,2,31,9,1
22022,1628369,22200346,4-Dec-22,BOS @ BKN,W,37,10,19,0.526,3,6,0.5,6,6,1,2,9,11,1,4,0,9,3,29,12,1
22022,1628369,22200328,2-Dec-22,BOS vs. MIA,L,41,5,18,0.278,0,7,0,4,6,0.667,3,9,12,3,0,0,5,4,14,0,1
22022,1628369,22200314,30-Nov-22,BOS vs. MIA,W,39,15,25,0.6,8,12,0.667,11,12,0.917,1,10,11,3,2,0,1,3,49,29,1
22022,1628369,22200301,28-Nov-22,BOS vs. CHA,W,30,15,28,0.536,4,14,0.286,1,1,1,0,3,3,3,2,1,0,3,35,45,1
22022,1628369,22200275,25-Nov-22,BOS vs. SAC,W,31,10,17,0.588,2,6,0.333,8,9,0.889,1,7,8,4,1,0,3,4,30,12,1
22022,1628369,22200264,23-Nov-22,BOS vs. DAL,W,37,11,24,0.458,2,7,0.286,13,15,0.867,3,10,13,5,0,2,2,1,37,14,1
22022,1628369,22200250,21-Nov-22,BOS @ CHI,L,36,9,19,0.474,4,10,0.4,6,7,0.857,2,9,11,7,0,0,4,1,28,-13,1
22022,1628369,22200231,18-Nov-22,BOS @ NOP,W,39,6,18,0.333,2,10,0.2,5,6,0.833,0,7,7,10,0,0,3,1,19,11,1
22022,1628369,22200214,16-Nov-22,BOS @ ATL,W,33,6,19,0.316,3,10,0.3,4,4,1,1,6,7,8,1,1,2,1,19,28,1
22022,1628369,22200201,14-Nov-22,BOS vs. OKC,W,38,9,23,0.391,1,9,0.111,8,10,0.8,1,9,10,1,3,3,1,2,27,2,1
